# Keepers: 3
# Takers:  2
# Region:  20 x 20
#
# Description of Fields:
# 1) Episode number
# 2) Start time in simulator steps (100ms)
# 3) End time in simulator steps (100ms)
# 4) Duration in simulator steps (100ms)
# 5) (o)ut of bounds / (t)aken away
#
1	0	79	79	t
2	79	167	88	t
3	167	299	132	t
4	299	356	57	t
5	356	433	77	t
6	433	557	124	t
7	557	650	93	t
8	650	797	147	t
9	797	893	96	t
10	893	950	57	t
11	950	1010	60	t
12	1010	1076	66	t
13	1076	1164	88	t
14	1164	1299	135	t
15	1299	1361	62	t
16	1361	1397	36	t
17	1397	1457	60	o
18	1457	1541	84	t
19	1541	1578	37	t
20	1578	1641	63	t
21	1641	1752	111	o
22	1752	1848	96	o
23	1848	1898	50	o
24	1898	2013	115	t
25	2013	2161	148	t
26	2161	2272	111	t
27	2272	2390	118	o
28	2390	2436	46	t
29	2436	2528	92	o
30	2528	2625	97	t
31	2625	2699	74	t
32	2699	2810	111	t
33	2810	2862	52	t
34	2862	2967	105	o
35	2967	3020	53	t
36	3020	3103	83	o
37	3103	3157	54	t
38	3157	3234	77	t
39	3234	3281	47	t
40	3281	3341	60	t
41	3341	3384	43	t
42	3384	3551	167	t
43	3551	3661	110	t
44	3661	3728	67	o
45	3728	3795	67	t
46	3795	3908	113	t
47	3908	3962	54	t
48	3962	4035	73	o
49	4035	4059	24	t
50	4059	4145	86	o
51	4145	4230	85	t
52	4230	4280	50	t
53	4280	4374	94	t
54	4374	4485	111	o
55	4485	4533	48	o
56	4533	4589	56	t
57	4589	4631	42	t
58	4631	4698	67	t
59	4698	4744	46	t
60	4744	4815	71	t
61	4815	4903	88	t
62	4903	4988	85	o
63	4988	5054	66	t
64	5054	5093	39	t
65	5093	5188	95	t
66	5188	5255	67	t
67	5255	5335	80	o
68	5335	5378	43	t
69	5378	5472	94	t
70	5472	5585	113	t
71	5585	5665	80	o
72	5665	5720	55	t
73	5720	5819	99	o
74	5819	5899	80	t
75	5899	5974	75	t
76	5974	6057	83	t
77	6057	6116	59	t
78	6116	6155	39	o
79	6155	6202	47	t
80	6202	6245	43	t
81	6245	6292	47	t
82	6292	6336	44	t
83	6336	6401	65	t
84	6401	6482	81	t
85	6482	6520	38	t
86	6520	6576	56	t
87	6576	6633	57	o
88	6633	6672	39	t
89	6672	6717	45	t
90	6717	6814	97	t
91	6814	6916	102	t
92	6916	6952	36	t
93	6952	7018	66	o
94	7018	7098	80	t
95	7098	7155	57	t
96	7155	7279	124	t
97	7279	7300	21	o
98	7300	7374	74	t
99	7374	7416	42	t
100	7416	7469	53	t
101	7469	7524	55	t
102	7524	7570	46	t
103	7570	7707	137	t
104	7707	7763	56	o
105	7763	7819	56	t
106	7819	7880	61	t
107	7880	7961	81	t
108	7961	8011	50	t
109	8011	8230	219	t
110	8230	8279	49	t
111	8279	8355	76	o
112	8355	8399	44	t
113	8399	8561	162	t
114	8561	8580	19	o
115	8580	8641	61	t
116	8641	8692	51	t
117	8692	8752	60	t
118	8752	8796	44	t
119	8796	8837	41	t
120	8837	8847	10	o
121	8847	8965	118	o
